[2026-05-09 21:03:48] [INFO    ] discord.client: logging in using static token
[2026-05-09 21:03:49] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'BevBot', 'primary_guild': None, 'mfa_enabled': False, 'id': '1501465154330689576', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '7294', 'clan': None, 'bot': True, 'avatar': 'e7720bbe41e2bdd7a28f807d5f2990fd'}, 'session_type': 'normal', 'session_id': 'accad60ab5cf59bb3a525a175fd4a9e6', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '564308920470863882'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-west', 'santa-clara', 'oregon', 'seattle', 'us-south'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1501465154330689576', 'flags_new': '557056', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-d-2dcv",{"micros":188710,"calls":["id_created",{"micros":1086,"calls":[]},"session_lookup_time",{"micros":475,"calls":[]},"session_lookup_finished",{"micros":10,"calls":[]},"sessions-prd-gcp-us-east1-d-189",{"micros":186714,"calls":["start_session",{"micros":138671,"calls":["prd-rpc-c967bc85d-527tf",{"micros":44946,"calls":["get_user",{"micros":7410},"get_guilds",{"micros":9191},"send_scheduled_deletion_message",{"micros":15},"guild_join_requests",{"micros":543},"authorized_ip_coro",{"micros":10},"pending_payments",{"micros":1229},"apex_experiments",{"micros":83671},"sessions_experiments",{"micros":7},"played_application_ids",{"micros":6},"linked_users",{"micros":4},"ad_personalization_toggles_disabled",{"micros":4},"regional_feature_config",{"micros":4}]}]},"starting_guild_connect",{"micros":35,"calls":[]},"presence_started",{"micros":311,"calls":[]},"guilds_started",{"micros":97,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":47576,"calls":[]},"connect_finished",{"micros":47587,"calls":[]},"build_ready",{"micros":9,"calls":[]},"clean_ready",{"micros":2,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2026-05-09 21:03:49] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-05-09 21:03:49] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: accad60ab5cf59bb3a525a175fd4a9e6).
[2026-05-09 21:03:49] [DEBUG   ] discord.client: Dispatching event connect
[2026-05-09 21:03:49] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'verification_role_id': None, 'region': 'deprecated', 'unavailable': False, 'premium_progress_bar_enabled_user_updated_at': None, 'member_count': 9, 'activity_instances': [], 'profile': None, 'large': False, 'channels': [{'version': 0, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '564308920470863884', 'flags': 0}, {'version': 0, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '564308920470863884', 'name': 'general', 'last_message_id': '1502883303785631785', 'id': '564308920470863885', 'flags': 0}, {'version': 0, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '564308920470863886', 'flags': 0}, {'version': 0, 'user_limit': 0, 'type': 2, 'status': None, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '564308920470863886', 'name': 'General', 'last_message_id': None, 'id': '564308920470863887', 'flags': 0, 'bitrate': 64000}, {'version': 0, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '564308920470863884', 'name': 'collection', 'last_message_id': '1288349070183628810', 'id': '852578212957257739', 'flags': 0}, {'version': 0, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'parent_id': '564308920470863884', 'name': 'insert-name-here', 'last_message_id': None, 'id': '928446955779153991', 'flags': 0}], 'features': [], 'mfa_level': 0, 'experiments': {'evaluation_id': None, 'assignments': []}, 'application_id': None, 'stickers': [], 'incidents_data': None, 'afk_channel_id': None, 'guild_scheduled_events': [], 'verification_level': 0, 'id': '564308920470863882', 'name': '...', 'banner': None, 'game_application_ids': None, 'embedded_activities': [], 'safety_alerts_channel_id': None, 'discovery_splash': None, 'rules_channel_id': None, 'default_message_notifications': 0, 'threads': [], 'emojis': [{'version': 0, 'roles': [], 'require_colons': True, 'name': 'pixilframe014', 'managed': False, 'id': '886426151990476820', 'available': True, 'animated': False}, {'version': 0, 'roles': [], 'require_colons': True, 'name': 'pixilframe015', 'managed': False, 'id': '886426935117377597', 'available': True, 'animated': False}], 'soundboard_sounds': [], 'premium_features': None, 'max_members': 25000000, 'vanity_url_code': None, 'icon': None, 'description': None, 'system_channel_id': '564308920470863885', 'public_updates_channel_id': None, 'presences': [], 'lazy': True, 'latest_onboarding_question_id': None, 'hub_type': None, 'owner_configured_content_level': 0, 'joined_at': '2026-05-06T06:13:29.167072+00:00', 'nsfw': False, 'afk_timeout': 300, 'voice_states': [], 'premium_tier': 0, 'inventory_settings': None, 'nsfw_level': 0, 'premium_subscription_count': 0, 'moderator_reporting': None, 'splash': None, 'premium_progress_bar_enabled': False, 'owner_id': '564308219103543296', 'application_command_counts': {}, 'explicit_content_filter': 0, 'stage_instances': [], 'version': 1745038647470, 'official_message_color': None, 'home_header': None, 'roles': [{'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465839169', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '564308920470863882', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 0, 'unicode_emoji': None, 'tags': {'bot_id': '646937666251915264'}, 'position': 3, 'permissions': '379969', 'name': 'Karuta', 'mentionable': False, 'managed': True, 'id': '819834471653572649', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 0, 'unicode_emoji': None, 'tags': {'bot_id': '159985870458322944'}, 'position': 2, 'permissions': '8798038649943', 'name': 'MEE6', 'mentionable': False, 'managed': True, 'id': '885026757965668406', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '1071698665025', 'name': 'owner', 'mentionable': False, 'managed': False, 'id': '892204326074847262', 'icon': None, 'hoist': True, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 15844367}, 'color': 15844367}, {'version': 0, 'unicode_emoji': None, 'tags': {'bot_id': '967518371828609044'}, 'position': 1, 'permissions': '534723947584', 'name': 'EmotionalSupport', 'mentionable': False, 'managed': True, 'id': '967533385067139122', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 0, 'unicode_emoji': None, 'tags': {'bot_id': '967885260165628034'}, 'position': 1, 'permissions': '534723947584', 'name': 'FarmBot', 'mentionable': False, 'managed': True, 'id': '967885605738545165', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 0, 'unicode_emoji': None, 'tags': {'bot_id': '969840270218756107'}, 'position': 1, 'permissions': '535530302529', 'name': 'BreadBot', 'mentionable': False, 'managed': True, 'id': '969840758729371691', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1778048026660, 'unicode_emoji': None, 'tags': {'bot_id': '1501465154330689576'}, 'position': 1, 'permissions': '563276639693888', 'name': 'BevBot', 'mentionable': False, 'managed': True, 'id': '1501466917637197897', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'max_stage_video_channel_users': 50, 'members': [{'user': {'username': 'BevBot', 'public_flags': 0, 'primary_guild': None, 'id': '1501465154330689576', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '7294', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'e7720bbe41e2bdd7a28f807d5f2990fd'}, 'roles': ['1501466917637197897'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-05-06T06:13:29.167072+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'max_video_channel_users': 25, 'preferred_locale': 'en-US', 'system_channel_flags': 0}}
[2026-05-09 21:03:49] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-05-09 21:03:49] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': 'acc2804260fb219c985f0684b33eb81e', 'members': [{'user': {'username': 'MEE6', 'public_flags': 65536, 'primary_guild': None, 'id': '159985870458322944', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '4876', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '765030df32975c5b23f8dfe86d6ff520'}, 'roles': ['885026757965668406'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2021-09-08T05:00:22.258000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'breadbit', 'public_flags': 256, 'primary_guild': {'tag': 'ONCE', 'identity_guild_id': '138194444645040128', 'identity_enabled': True, 'badge': '6ff5c5d46d825598bf0cb00b5f056b1f'}, 'id': '564308219103543296', 'global_name': 'bread', 'display_name_styles': None, 'display_name': 'bread', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '9698e32246a0d76a8429b9b953193a29'}, 'roles': ['892204326074847262'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2019-04-07T04:42:11.002000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Karuta', 'public_flags': 65536, 'primary_guild': None, 'id': '646937666251915264', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '1280', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '0e54d87446f106d1fd58385295ae9deb'}, 'roles': ['819834471653572649'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2021-03-12T07:29:29.853000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'otherbread', 'public_flags': 0, 'primary_guild': None, 'id': '742919831678091272', 'global_name': 'Bread', 'display_name_styles': None, 'display_name': 'Bread', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'b1059cdc874e58f13a7013f6fc725f30'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2022-10-10T01:33:53.515000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'strawberryblitz', 'public_flags': 0, 'primary_guild': None, 'id': '878149384460730378', 'global_name': '✨Strawberry Midnight✨', 'display_name_styles': None, 'display_name': '✨Strawberry Midnight✨', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '803c27f08229b482b161b12d9d224182'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-05-08T04:01:38.356516+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'EmotionalSupport', 'public_flags': 0, 'primary_guild': None, 'id': '967518371828609044', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '5982', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'a3642e3c79156324a64981401926fa9c'}, 'roles': ['967533385067139122'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2022-04-23T21:12:14.972000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'FarmBot', 'public_flags': 0, 'primary_guild': None, 'id': '967885260165628034', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '4232', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '8a67bc1789056aaead13a1970d2de3aa'}, 'roles': ['967885605738545165'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2022-04-24T20:31:50.924000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'BreadBot', 'public_flags': 0, 'primary_guild': None, 'id': '969840270218756107', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '1502', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['969840758729371691'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2022-04-30T06:00:55.706000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'BevBot', 'public_flags': 0, 'primary_guild': None, 'id': '1501465154330689576', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '7294', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'e7720bbe41e2bdd7a28f807d5f2990fd'}, 'roles': ['1501466917637197897'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-05-06T06:13:29.167072+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '564308920470863882', 'chunk_index': 0, 'chunk_count': 1}}
[2026-05-09 21:03:49] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-05-09 21:03:49] [DEBUG   ] discord.state: Processed a chunk for 9 members in guild ID 564308920470863882.
[2026-05-09 21:03:51] [DEBUG   ] discord.client: Dispatching event guild_available
[2026-05-09 21:03:51] [DEBUG   ] discord.client: Dispatching event ready
[2026-05-09 21:03:55] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 4, 'op': 0, 'd': {'user_id': '564308219103543296', 'timestamp': 1778385835, 'member': {'user': {'username': 'breadbit', 'public_flags': 256, 'primary_guild': {'tag': 'ONCE', 'identity_guild_id': '138194444645040128', 'identity_enabled': True, 'badge': '6ff5c5d46d825598bf0cb00b5f056b1f'}, 'id': '564308219103543296', 'global_name': 'bread', 'display_name_styles': None, 'display_name': 'bread', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '9698e32246a0d76a8429b9b953193a29'}, 'roles': ['892204326074847262'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2019-04-07T04:42:11.002000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '564308920470863885', 'guild_id': '564308920470863882'}}
[2026-05-09 21:03:55] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-05-09 21:03:55] [DEBUG   ] discord.client: Dispatching event typing
[2026-05-09 21:03:55] [DEBUG   ] discord.client: Dispatching event raw_typing
[2026-05-09 21:03:56] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-05-10T04:03:56.706000+00:00', 'pinned': False, 'nonce': '1502883868443672576', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['892204326074847262'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2019-04-07T04:42:11.002000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1502883869437722754', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!clear', 'components': [], 'channel_type': 0, 'channel_id': '564308920470863885', 'author': {'username': 'breadbit', 'public_flags': 256, 'primary_guild': {'tag': 'ONCE', 'identity_guild_id': '138194444645040128', 'identity_enabled': True, 'badge': '6ff5c5d46d825598bf0cb00b5f056b1f'}, 'id': '564308219103543296', 'global_name': 'bread', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': 'ONCE', 'identity_guild_id': '138194444645040128', 'identity_enabled': True, 'badge': '6ff5c5d46d825598bf0cb00b5f056b1f'}, 'avatar_decoration_data': None, 'avatar': '9698e32246a0d76a8429b9b953193a29'}, 'attachments': [], 'guild_id': '564308920470863882'}}
[2026-05-09 21:03:56] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-05-09 21:03:56] [DEBUG   ] discord.client: Dispatching event message
[2026-05-09 21:03:56] [DEBUG   ] discord.client: Dispatching event command
[2026-05-09 21:03:56] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-05-10T04:03:56.856000+00:00', 'pinned': False, 'nonce': '15138795221209402198', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1501466917637197897'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-05-06T06:13:29.167072+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1502883870067130390', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'Cleared your test data 🧼', 'components': [], 'channel_type': 0, 'channel_id': '564308920470863885', 'author': {'username': 'BevBot', 'public_flags': 0, 'primary_guild': None, 'id': '1501465154330689576', 'global_name': None, 'display_name_styles': None, 'discriminator': '7294', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'e7720bbe41e2bdd7a28f807d5f2990fd'}, 'attachments': [], 'guild_id': '564308920470863882'}}
[2026-05-09 21:03:56] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-05-09 21:03:56] [DEBUG   ] discord.client: Dispatching event message
[2026-05-09 21:03:56] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/564308920470863885/messages with {"content":"Cleared your test data \ud83e\uddfc","components":[],"nonce":"15138795221209402198","enforce_nonce":true,"tts":false} has returned 200
[2026-05-09 21:03:56] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (62df3a8bf3cb0dd93018dd80d06039f6).
[2026-05-09 21:03:56] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/564308920470863885/messages has received {'type': 0, 'content': 'Cleared your test data 🧼', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2026-05-10T04:03:56.856000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1502883870067130390', 'channel_id': '564308920470863885', 'author': {'id': '1501465154330689576', 'username': 'BevBot', 'avatar': 'e7720bbe41e2bdd7a28f807d5f2990fd', 'discriminator': '7294', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '15138795221209402198'}
[2026-05-09 21:03:56] [DEBUG   ] discord.client: Dispatching event command_completion
[2026-05-09 21:04:02] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 7, 'op': 0, 'd': {'user_id': '564308219103543296', 'timestamp': 1778385842, 'member': {'user': {'username': 'breadbit', 'public_flags': 256, 'primary_guild': {'tag': 'ONCE', 'identity_guild_id': '138194444645040128', 'identity_enabled': True, 'badge': '6ff5c5d46d825598bf0cb00b5f056b1f'}, 'id': '564308219103543296', 'global_name': 'bread', 'display_name_styles': None, 'display_name': 'bread', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '9698e32246a0d76a8429b9b953193a29'}, 'roles': ['892204326074847262'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2019-04-07T04:42:11.002000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '564308920470863885', 'guild_id': '564308920470863882'}}
[2026-05-09 21:04:02] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-05-09 21:04:02] [DEBUG   ] discord.client: Dispatching event typing
[2026-05-09 21:04:02] [DEBUG   ] discord.client: Dispatching event raw_typing
[2026-05-09 21:04:06] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 8, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-05-10T04:04:06.768000+00:00', 'pinned': False, 'nonce': '1502883904783122432', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['892204326074847262'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2019-04-07T04:42:11.002000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1502883911640944803', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!bevpopulate', 'components': [], 'channel_type': 0, 'channel_id': '564308920470863885', 'author': {'username': 'breadbit', 'public_flags': 256, 'primary_guild': {'tag': 'ONCE', 'identity_guild_id': '138194444645040128', 'identity_enabled': True, 'badge': '6ff5c5d46d825598bf0cb00b5f056b1f'}, 'id': '564308219103543296', 'global_name': 'bread', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': 'ONCE', 'identity_guild_id': '138194444645040128', 'identity_enabled': True, 'badge': '6ff5c5d46d825598bf0cb00b5f056b1f'}, 'avatar_decoration_data': None, 'avatar': '9698e32246a0d76a8429b9b953193a29'}, 'attachments': [], 'guild_id': '564308920470863882'}}
[2026-05-09 21:04:06] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-05-09 21:04:06] [DEBUG   ] discord.client: Dispatching event message
[2026-05-09 21:04:06] [DEBUG   ] discord.client: Dispatching event command
